measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,52,Romania,1,Male,6,5-9 years,339,Pertussis,1,Number,1981,0.002286147168881857,0.004726871467396705,0.0008363285387220542
1,Deaths,52,Romania,2,Female,6,5-9 years,339,Pertussis,1,Number,1981,0.2201102766313342,0.5038594556561751,0.06390691373067381
1,Deaths,52,Romania,1,Male,6,5-9 years,339,Pertussis,2,Percent,1981,2.702301665584627e-06,5.629021115579866e-06,9.976366237029109e-07
1,Deaths,52,Romania,2,Female,6,5-9 years,339,Pertussis,2,Percent,1981,0.00041615722733358767,0.000958567469672165,0.00011960245769930623
1,Deaths,52,Romania,1,Male,6,5-9 years,339,Pertussis,3,Rate,1981,0.00021706552775920793,0.0004488078736515635,7.94078780705003e-05
1,Deaths,52,Romania,2,Female,6,5-9 years,339,Pertussis,3,Rate,1981,0.021977201869142104,0.05030851416891741,0.0063808703772849085
1,Deaths,52,Romania,1,Male,7,10-14 years,339,Pertussis,1,Number,1981,0.001227797224699641,0.0032034737318785878,0.0002483187791239675
1,Deaths,52,Romania,2,Female,7,10-14 years,339,Pertussis,1,Number,1981,0.001573333287969473,0.004202077796131658,0.0002733081320564106
1,Deaths,52,Romania,1,Male,7,10-14 years,339,Pertussis,2,Percent,1981,1.8346516630736678e-06,4.7918334507877055e-06,3.701943843002654e-07
1,Deaths,52,Romania,2,Female,7,10-14 years,339,Pertussis,2,Percent,1981,4.338626437657748e-06,1.1525942659213038e-05,7.542124775231201e-07
1,Deaths,52,Romania,1,Male,7,10-14 years,339,Pertussis,3,Rate,1981,0.00011470322259899553,0.0002992747932359878,2.319842692618491e-05
1,Deaths,52,Romania,2,Female,7,10-14 years,339,Pertussis,3,Rate,1981,0.00015243618286271907,0.000407128422332679,2.6480116269444634e-05
1,Deaths,52,Romania,1,Male,8,15-19 years,339,Pertussis,1,Number,1981,0.0020239210399465085,0.005183128986076631,0.0004869175696451783
1,Deaths,52,Romania,2,Female,8,15-19 years,339,Pertussis,1,Number,1981,5.286859211367529e-06,1.3505801598996531e-05,1.0145769332508635e-06
1,Deaths,52,Romania,1,Male,8,15-19 years,339,Pertussis,2,Percent,1981,2.700565105748248e-06,6.939799951075171e-06,6.513823166931481e-07
1,Deaths,52,Romania,2,Female,8,15-19 years,339,Pertussis,2,Percent,1981,1.4569989419020068e-08,3.72085817485195e-08,2.8177207549753143e-09
1,Deaths,52,Romania,1,Male,8,15-19 years,339,Pertussis,3,Rate,1981,0.0002839164631600539,0.0007270914333041994,6.830499386863527e-05
1,Deaths,52,Romania,2,Female,8,15-19 years,339,Pertussis,3,Rate,1981,7.684059662943821e-07,1.9629685817891725e-06,1.474612690836084e-07
1,Deaths,52,Romania,1,Male,9,20-24 years,339,Pertussis,1,Number,1981,0.00029419748621765663,0.0009186643158734395,4.292907573930758e-05
1,Deaths,52,Romania,2,Female,9,20-24 years,339,Pertussis,1,Number,1981,3.0736580327307095e-05,7.762774303702543e-05,5.919131994491821e-06
1,Deaths,52,Romania,1,Male,9,20-24 years,339,Pertussis,2,Percent,1981,2.214288235931715e-07,6.910419592990792e-07,3.236371007739001e-08
1,Deaths,52,Romania,2,Female,9,20-24 years,339,Pertussis,2,Percent,1981,4.839321827780612e-08,1.218735667533932e-07,9.360606511870137e-09
1,Deaths,52,Romania,1,Male,9,20-24 years,339,Pertussis,3,Rate,1981,3.3120460560060726e-05,0.00010342231550989828,4.832912674351275e-06
1,Deaths,52,Romania,2,Female,9,20-24 years,339,Pertussis,3,Rate,1981,3.544801301292899e-06,8.952685093910941e-06,6.826441514691864e-07
1,Deaths,52,Romania,1,Male,10,25-29 years,339,Pertussis,1,Number,1981,2.0907721258235674e-05,4.398909534637516e-05,5.927752410344957e-06
1,Deaths,52,Romania,2,Female,10,25-29 years,339,Pertussis,1,Number,1981,3.3852668168546615e-05,0.00010350225781632765,4.053572211684779e-06
1,Deaths,52,Romania,1,Male,10,25-29 years,339,Pertussis,2,Percent,1981,1.3185873654045312e-08,2.775793118381842e-08,3.74641013950164e-09
1,Deaths,52,Romania,2,Female,10,25-29 years,339,Pertussis,2,Percent,1981,4.192548400296641e-08,1.2705882614967126e-07,5.0652535658390065e-09
1,Deaths,52,Romania,1,Male,10,25-29 years,339,Pertussis,3,Rate,1981,2.27703863541911e-06,4.790807587478033e-06,6.455854797775912e-07
1,Deaths,52,Romania,2,Female,10,25-29 years,339,Pertussis,3,Rate,1981,3.7976890764969354e-06,1.1611179123158388e-05,4.5474131706433577e-07
1,Deaths,52,Romania,1,Male,11,30-34 years,339,Pertussis,1,Number,1981,3.615100435546416e-05,8.07035896429864e-05,1.1031878231760627e-05
1,Deaths,52,Romania,2,Female,11,30-34 years,339,Pertussis,1,Number,1981,1.8859966971625998e-05,5.879865277807794e-05,2.7869393516466348e-06
1,Deaths,52,Romania,1,Male,11,30-34 years,339,Pertussis,2,Percent,1981,2.0899330917633693e-08,4.685779306431761e-08,6.369804664798225e-09
1,Deaths,52,Romania,2,Female,11,30-34 years,339,Pertussis,2,Percent,1981,2.1992191659836496e-08,6.888782060222549e-08,3.274126003273667e-09
1,Deaths,52,Romania,1,Male,11,30-34 years,339,Pertussis,3,Rate,1981,4.48656171867624e-06,1.0015811242523649e-05,1.3691238581656135e-06
